Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
KII_P9,Recommended Adaptation Strategies,Innovative suggestions,,"“That's why we need to focus on mental health, social well-being, and activities that promote well-being. We will need to take those into account.”",,
FGD2_P6, Adaptive Capacity,Instant Assistance,,"As for other measures, if I feel more uncomfortable, I just take the car and go home. Once I’m home, I take a shower and rest a bit to cool off. I lie under the fan. You know what I do? These shirts I wear, I dip them in water, squeeze them a little, and put them on my body..",,
FGD-5_P10,Adaptive capacity,Instant Assistance,,"“once, during a severe heatwave (P8: It was so hot that we took the initiative from our market), all the businesspeople in the market pooled funds (P2: We collected money from the market), bought glucose water and distributed it to rickshaw pullers, van drivers, and bus drivers. It’s something we do occasionally.”","In times of severe heat waves, people come forward to help others cope with the consequences of heat by sharing and donating water, saline, medicine, umbrellas etc. These measures are taken mainly to ease the challenges faced by the people working on the streets. People working outdoors are exposed to direct heat from the sun and are more vulnerable to dehydration and heat stress, leading to heat strokes. Therefore, some participants mentioned that they collectively help each other. However, even after such measures many people fall sick. In those cases, other members of the community come forward, immediately tend to the sick ones by taking them to a cool place with a fan or pouring water on their heads and sometimes taking them to hospitals if needed. Usually, during such extremely high temperatures, some people take frequent showers, which provides immediate but temporary relief, but they begin feeling hot as time passes. If they can’t take a shower, they sometimes sponge their bodies with soaked sponges. Some of the participants even mentioned going beyond just taking a shower to get relief from heat. Some participants reported that when the heat is severe, the inside of the house feels like an oven. So many people who live in tin-roofed houses pour water over their roofs, which makes them a little cooler during extreme heat outside. Some of the residents even soak fabric and put it under their roof. Similarly, pouring water over the floor is also a common practice to make the heat a little more bearable as the water cools the floor and room for a while.",
FGD-5_P2,Adaptive capacity,Instant Assistance,,"“No, no major incidents have occurred here. Thankfully, we haven’t faced any catastrophic accidents. However, when someone falls ill due to heat, we shopkeepers collectively help to stabilize the person. If needed, we take them to Dhaka Medical. We also have 24 fans here, which we turn on and create arrangements to cool the person. We provide cold water if necessary. That’s all.”",,
FGD-5_P8,Adaptive capacity,Instant Assistance,,"“For example, during that heatwave, we bought small bottles of saline, mixed it with water, and distributed it to those struggling in the heat—rickshaw pullers, for instance. We collected money individually (P10: This was purely private initiative).”",,
FGD-6_P2,Adaptive capacity,Instant Assistance,," “Then, we rush to get water—buy it if necessary—and do whatever we can to help. Whoever has the means helps in their own way, and we take the person to a nearby medical facility.”",,
FGD-6_P6,Adaptive capacity,Instant Assistance,," “I keep enough water in my shop. If anyone asks, I offer it. You can’t say no to someone in need.”",,
FGD-6_P7,Adaptive capacity,Instant Assistance,,"“Our supervisor Sufian Dewan arranges umbrellas for us. For our staff, especially those struggling in the heat, he provides medicine, oral rehydration salts, or cold water.”",,
FGD-6_P7,Adaptive capacity,Instant Assistance,," “For instance, there are three buildings under construction near us. Workers are working on the rooftops in this heat. So, I decided to help by providing them with caps and helmets. I also ensure they get oral saline daily. Since they don’t like plain saline, I added flavor to make it taste better. I tell them, “If you don’t like regular saline, drink the flavored one. Just don’t get sick.” I’ve allocated two packets of saline daily for each worker. No matter how hot it gets, drinking two packets helps reduce fatigue and prevents heat strokes or heart attacks.”",,
FGD-8_P1,Adaptive capacity,Instant Assistance,,but we eat more soaked rice (panta bhat). It feels a bit cooling,,
FGD-8_P3,Adaptive capacity,Instant Assistance,,"Even if water isn’t poured on the floor, when cleaning Pouring water cools it down momentarily, but then it gets hot again.",,
FGD-8_P6,Adaptive capacity,Instant Assistance,,"Some people even soak thick fabric and place it on top of the roof, or pour water over it. That also makes it a bit cooler.",,
FGD-8_p9,Adaptive capacity,Instant Assistance,,"In the evening, people pour water on the tin roof, and it feels cooler.",,
FGD-9_P9,Adaptive capacity,Instant Assistance,,"You’d have to say it happens frequently, even daily. People working in factories wear helmets, pour water on themselves, and then return to work. They pour a mug of water over themselves and get back to work in the rolling mills with extreme heat.",,
FGD2_P8,Barriers to Coping Heat,Lack of awareness,,There are also some mistakes in the planning,,
FGD3_P2,Barriers to Coping Heat,Lack of awareness,,"Like I said earlier, young people today are completely preoccupied with mobile phones. That’s 100% true. Nothing else registers with them except for mobile phones.",,
FGD3_P2,Barriers to Coping Heat,Lack of awareness,,"There is awareness. Everyone wants to plant a tree and enjoy its fruits.That’s something everyone has within them. But what happens is, say, my father planted this tree, and when it gets cut down, it deeply hurts me. I feel immense sadness in my heart. My father planted it, my father enjoyed its fruits, I enjoyed them, and my children enjoyed them too. But when it’s cut down, I think, ""Why bother planting another tree here? I won’t do it anymore."" R: I see. What’s the point of planting it? If I plant another one, they’ll cut it down again. What’s the benefit of planting something if it’ll just get cut down again?",,
"FGD3_P6,P2",Barriers to Coping Heat,Lack of awareness,,"That kind of awareness doesn’t exist in any area. It’s not just about our area you won’t see any journalist, leader, or activist talking about it. And the young generation needs to take the initiative. But they lack any initiative. Like I said, our mindset just isn’t there. Where will such things happen? It’s just not going to happen. If you create a big playground, will it increase problems here or reduce them?",,
FGD-8_P10,Barriers to Coping Heat,Lack of awareness,,"There’s a need for awareness, a lot of it.",,
KII_P3,Barriers to Coping Heat,Lack of awareness,,"our challenges are so many, the impact we get from heat lasts maybe for about 15 days or a month. Besides that, we have many ongoing challenges. As a result, the focus of the city corporation sometimes shifts. To keep this focus throughout the year, it requires continuous effort. I believe that if our civil society keeps up the pressure, the city corporation will pay more attention to this.",,
KII_P8,Barriers to Coping Heat,Lack of awareness,,"“I would say there is no awareness at all. Not only among vulnerable groups—no one is really aware. How conscious are you or I? The winter is ending, but more importantly, our seasonal patterns are changing. I don’t even know when summer will actually begin. Typically, we assume that as spring approaches, the heat will gradually increase. But this year, I haven’t even needed to wear a sweater. And today, for example, it’s cold again. This morning, before leaving home, I had to go back and grab a cardigan. I saw fog outside.”",,
FGD2_P3,Barriers to Coping Heat,Legality,,Didn’t they find any other land apart from the field? The government is the one causing harm,,
FGD2­_P9,Barriers to Coping Heat,Legality,,"They filled it up and created this council. The pond was here in our mosque area, and now we’ve kept it as an area-based project. This was something they wanted to take, but we didn’t give it to them. You have two in Uttar Khan both have been taken. So, it seems the government is taking it, what can you or I do?",,
FGD6_P7,Barriers to Coping Heat,Legality,,"“ We sought permission to arrange something ourselves, but we haven't received any response yet.”",,
KII_P5,Barriers to Coping Heat,Legality,,"In this case, they were willing and interested. But the problem is, what they tell us is that when a private housing project is developed, after they sell the plots, these plots no longer remain under their ownership. Instead, they become private property. Now, case by case, it depends on what an individual wants to do because they have their rights. So, pushing them to follow certain rules doesn't really have scope in this situation. This is a complication that remains here.",,
KII_P5,Barriers to Coping Heat,Legality,,"Although we haven't established green buildings in Dhaka city yet, we do have a pilot project underway, and we're already planning to construct a green building. According to the plan, if we increase the use of green materials, then the heat island effect from the steel or glass buildings we're constructing may be mitigated. While there is no embargo in our regulations on using glass buildings, a lot of people are still opting for glass-fitted buildings. However, the environment of Dhaka city isn't suitable for glass buildings. In cold regions abroad, it’s feasible, but not here. In the absence of laws, we cannot force anyone to stop using them. But we should promote these things, encouraging those building homes to be more dependent on green materials and avoid things like glass buildings that contribute to urban heat generation.",,
P9,Barriers to Coping Heat,Legality,,"They’ve been filled in to create the councilor’s office, land office, or police station. These three structures have replaced the ponds.",,
"FGD2_P1,3,6",Barriers to Coping Heat,"Legality, Encroachment",,"Alright. So, the two interesting points that stood out to me in what you said are: One is that the government is actually filling up the ponds, which means the government is playing a role in increasing the heat, as part of its policy.Yes",,
KII_04_M2,Barriers to Coping Heat,less adaptivity,,"6 automatic rain gauges have been installed across Dhaka city. Initially, 30 rain gauges were installed by WASA for urban drainage monitoring. However, we proposed installing temperature sensors at all 30 stations. This would allow us to gather temperature data from 30 different locations at a relatively low cost. Although it was recommended, for some reason, the plan was not implemented. If these 30 stations had temperature sensors, we could have gathered better data.",,
FGD2_P6,Barriers to Coping Heat,Less Blue Spaces,,"Or, here at the shrine, there used to be ponds. The water from many cool ponds was clear, and we would drink water from there. Now, that's not possible anymore.",,
FGD2_P6,Barriers to Coping Heat,Less Blue Spaces,,Not even one.,,
FGD2_P9,Barriers to Coping Heat,Less Blue Spaces,,"You probably won’t even recognize one or two ponds while entering or inspecting this area. There are no ponds, and the few that were here were government-owned. Now, every government office, like the councilor's office, police station, has taken up the land.",,
FGD3_P1,Barriers to Coping Heat,Less blue spaces,,"No, we don’t have ponds here.",,
KII_P3,Barriers to Coping Heat,Less Blue Spaces,,"Absolutely. Our reservoirs, our canals—Dhaka city has 52 canals, but now you can hardly find them anywhere. Many of them were present when I was a child. I am around 50 years old and a resident of Dhaka city. In our area, there was a pond called ""Jor Pukur,"" which was later converted into a playground. The field barely has any grass it's mostly sand. Naturally, this contributes to the heat. So, these things certainly have a big impact.",,
KII_P3,Barriers to Coping Heat,Less Blue Spaces,,"It will take time. Take Panthapath, for example—it used to be a canal. The canals in Fakirapool were also once waterways but have now become roads. Bringing changes there requires strong political motivation and significant demand from civil society. Everyone wants good things.",,
KII_P9,Barriers to Coping Heat,Less Blue Spaces,,"“Let me explain. The challenge of working in Dhaka is that many of the canals, which used to be part of the city’s system, have been compromised. Dhaka used to have beautiful canals, almost like Venice. I'm not saying it would have been exactly like that, as it’s a different pattern and more coastal, but we have failed. Our focus has been on short-term benefits. If people are not motivated, then Dhaka will not be a livable city. However, I am still hopeful. Our advisor was saying recently that they are trying to restore some canals. It’s time-consuming, but if we manage it, we could restore some of Dhaka’s rivers, like the Buriganga. Our advisor asked the German Vice-Chancellor at the COP to help clean our rivers. Then he (German Vice-Chancellor) replied, maybe sarcastically, that “if I win the election and become the Chancellor, I see your dream” (he will help with cleaning our rivers).”",,
FGD2_P7,Barriers to Coping Heat,Less Blue Spaces.,,"Absolutely. If there was water, water production, we could even bathe there. But now, that system doesn’t exist anymore",,
FGD-9_p5,Barriers to Coping Heat,"less green space,places to plant trees",,"There are no trees here. Even if we plant trees, there’s no space. Where there’s a little space, it’s used to build another room to rent out for income. That’s the system here.",,
FGD3_P1, Barriers to Coping Heat,less green spaces,,"There are no trees, except in Ramna Park ",,
FGD2_P2,Barriers to Coping Heat,Less Green spaces,,They’ve cut all the trees while working on the roads.,,
"FGD2_P2,P6,P7",Barriers to Coping Heat,Less Green spaces,,Is there any roof or shelter where you stay? No. We set up our shops on the footpath. We’re street vendors,,
FGD2_P7,Barriers to Coping Heat,Less Green spaces,,"This was being considered for the Patowarypara area, where they planned to fill up a pond, but that hasn’t happened.",,
FGD2_P7,Barriers to Coping Heat,Less Green spaces,,But there are places where there's no space even to stand in the shade for a minute,,
FGD2_P7,Barriers to Coping Heat,Less Green spaces,,The government is cutting trees along the roads,,
"FGD3_P1,P2",Barriers to Coping Heat,Less Green spaces,,"You’ll see some trees around the houses, but when you go inside, you’ll find trees are scarce..",,
"FGD3_P2,P4,P1",Barriers to Coping Heat,Less Green spaces,,"Absolutely not. But for constructing a 20-foot road, they’re cutting down all the trees. Every tree along the roadsides from Uttara to our area is being cut down for road construction. Thousands of trees have been cut. Some trees were 20, 30, or even 50 years old. The government cleared them for roads but didn’t plant new ones along the roadsides. They cut down trees for the road—sometimes even unnecessarily. They cleared everything, even 50 feet away from the road. So, they’re cutting down more than what’s required. Yes. They’re cutting indiscriminately. When they cut trees, even this road. This broken road here—there were so many trees along both sides of it. Some were over 50 years old, and they cut them all down. They didn’t need to cut that many.",,
FGD-8_P10,Barriers to Coping Heat,Less Green spaces,,"Yes, but here, we don’t have any trees. It’s overcrowded, there are no open spaces, and there are factories everywhere—that’s why.",,
FGD-9_p5,Barriers to Coping Heat,Less Green spaces,,"Also, we don’t have many trees here. The heat increases due to the garbage.",,
KII_P3,Barriers to Coping Heat,Less Green spaces,,"Previously, people could gather under trees for shade, but such spaces are disappearing.",,
KII_P9,Barriers to Coping Heat,Less Green spaces,,"“The forest department have already assessed this, I must say they are in a better position to talk about it. I was present at the meeting on behalf of the environment (department). They talked about their assessment there, and they mentioned that opportunities are becoming very limited. However, they are trying to minimize the situation by focusing on things like rooftop gardens and other relevant measures. This has become somewhat of a social issue, like a campaign, and many people are engaging in it.”",,
KII_P9,Barriers to Coping Heat,Less Green spaces,,"“Maybe they haven’t educated enough people, but there is an opportunity in the newer parts of Dhaka, especially in those areas, and they might have plans to expand it there.”",,
FGD2_P6,Barriers to Coping Heat,"Less Green spaces, Lack of awarenes.",,"if people like them come forward, why should the field be occupied? Use some other land. Keep the field open for play, or find another place for development",,
"FGD2_P7,P9",Barriers to Coping Heat,"Less Green spaces,Places to Plant Trees",,"There isn’t a pond in this area. No pond. There used to be ponds everywhere, but now there are none",,
KLL_P6,Barriers to Coping Heat,Less shades,,"You mean what kind of trees should be planted, right? You see, they have planted several bonsais on the airport road, right? A lot of money is being spent on this. But when you ask the question, yes, aesthetic or ornamental trees are fine. But how much are they actually contributing? I mean, if a passerby doesn’t have any shade, you see, from Banani, you will get one or two shades. So, if someone needs rest—imagine a person over 60 walking on the road—they need rest but there is no place to sit. They might sit on the road, but where is the shade? But if there were trees or a shaded area, they could have rested there for a while.",,
KII_P6,Heat Exposure,Less water bodies,,"Infrastructure, first of all. I mean, this is undoubtedly the case. Second, is the preservation of green lands. By Greenland, I mean the corridors where we had enough greenery. You should check whether those exist there now. The second thing is water bodies, meaning urban planning overall—how your water bodies are, how much greenery you have, and the public places, parks, avenues. You can hardly find any parks now. Gulshan Park, and even there, not everyone has access after a certain time. Then there's Banani Park there are only a few parks like these. But go to densely populated areas. How many parks will you find in Farmgate? And that park near Farmgate, towards Indira Road, near the Farmgate Police Box, wasn’t there a park there?",,
KII_P5,Barriers to Coping Heat,Low-income,,"In fact, this change might be something that a part of society or a group can adjust to, but in Dhaka city, out of a population of 2.5 crores, only about 20% or so can moderately afford this  they have the affordable capacity. But our lower middle or lower-income groups, they cannot afford this, so their situation needs to be considered. At the end of the day, they are the ones who suffer the most from this temperature issue.",,
KII_P5,Barriers to Coping Heat,Low-income,,"No, age-wise, health issues are something that affects everyone across all sectors or groups in some way. But if I were to create a hierarchy, definitely, those from the lower-income or low-income groups are the most affected. Those who are more vulnerable, such as those who have health issues or lifelong illnesses, or other problems, they are also affected. For example, people here suffer from dust allergies, cold allergies, and these are the issues arising from the temperature changes. In Dhaka city, more than 80% of households have allergy problems, such as dust allergies, cold allergies, and the instability in temperatures due to hot and cold weather. This causes us difficulty in adjusting. I am staying in a room with one temperature, but when I step outside, the temperature is different. When I leave the air-conditioned room, the temperature is completely different.",,
FGD2_P7, Health Impact,Mental Health,Mood,"The mood gets irritable, and we don’t feel like talking to people properly. That’s the kind of feeling we get.",,
FGD2_P3,Health Impact,Mental Health,Mood,It’s really the excessive heat that causes this feeling,,
FGD3_P2,Health Impact,Mental Health,Mood," Everyone wants to plant two trees, eat two fruits, enjoy a jackfruit, enjoy a mango—everyone wants that. But the emotional connection to trees has faded. I understand. There’s no need for it.",,
"FGD3_P2,P1",Health Impact,Mental Health,Mood,"The heat outside when we work is much worse. That heat is more unbearable. Yes, it’s more difficult when the sun is really strong.",,
"FGD3_P5,P2,P1,P9",Health Impact,Mental Health,Stress,"It’s tolerable, but there is severe heat, and people struggle to breathe. The heat isn’t that extreme here? Another thing is that you mentioned that people sometimes get fever, cold, or allergies during the hot season. Do you know if there are any mental health issues, like irritability or mood swings in the heat? No, no. No mood swings or irritability? Yes, in this country, people don’t have the luxury to have mood swings. They’re too busy to get irritated. People work hard, so there’s no time to be moody. We never get irritated here.",,
FGD-4,Health Impact,Mental Health,Stress,"In extreme heat, people get agitated.",,
FGD-4_P2,Health Impact,Mental Health,Other,“It makes you feel sick.”,,
FGD-4_P2,Health Impact,Mental Health,Other,"“Yes, it makes you feel unwell.”",,
FGD-4_P3,Health Impact,Mental Health,Irritation,"“In summer, under pressure from work, even if someone speaks kindly, it becomes irritating.”",,
FGD-4_P5,Health Impact,Mental Health,Other,“It definitely does.”,,
FGD-4_P6,Health Impact,Mental Health,Other,"“Yes, the body feels weak, you become unwell.”",,
FGD8_P5,Health Impact,Mental Health,Angry,"Tempers get short, nothing feels good, and there’s constant restlessness.",,
FGD-9_P2,Health Impact,Mental Health,Angry,"After working hard all day, or because of the heat, people return home with a bad mood and sometimes behave poorly, snapping at others: “I worked hard all day in this heat!”",,
FGD-9_p4,Health Impact,Mental Health,Angry,"When we return home from outside and ask for a glass of water, they respond, “Get it yourself!” They’re also frustrated from the heat.",,
FGD-9_P7,Health Impact,Mental Health,Angry,Anger rises within your body.,,
FGD-9_p9,Health Impact,Mental Health,Angry,"Does the heat make your mood worse? Of course, it does.",,
KII_04_M4,Health Impact,Mental Health,Stress,"Now, when such extreme temperatures occur, you have to consider that in Dhaka, temperatures rarely exceed 36–38°C. But during this event, people in Dhaka appeared more distressed than those in marginal rural areas.",,
KII_P10,Health Impact,Mental Health,Heat Stress,,,
KII_P4,Health Impact,Mental Health,Angry,"This heat exposure creates a mental imbalance, making us more aggressive. These impacts are affecting those of us who stay indoors most of the time.",,
FGD4_P1,Psychological Responses,Negative outlook,,“The heat can’t be reduced. The government can’t do anything about it.”,,
FGD4_P2,Psychological Responses,Negative outlook,,“The government doesn’t seem to have the capacity for that.”,,
KII_P6,Capacity,Neighbored country Approach,,"You may know about the Ahmedabad Heat Action Plan in India. So, what Ahmedabad is doing, similar to Bangladesh, is that initially, their disaster management plan did not include heat discussions. Later, when they noticed the reference value I mentioned in India, they set a reference value and said it wasn't within a particular range. They said that if it's in a hilly area, it would be 40 degrees, and in the plains, sorry, in the hilly area, it would be 35 degrees above, and in the plains, it would be 40 degrees, that's their range. And they are providing for two to three days. And if you talk about their heat action plan, it has been very community-driven, meaning when the municipality did it, they brought people from every stakeholder.",,
"FGD3_P1,P9",Heat Exposure,Neighbourhood Characteristics,,": If this environment didn’t exist, the heat would be unbearable. This is why children and elderly people fall ill often, with fevers and various diseases.",,
FGD7_P3,Heat Exposure,Neighbourhood Characteristics,," There’s a lot of sand around here, and sand holds heat.",,
"FGD7_P3,P5,P8",Heat Exposure,Neighbourhood Characteristics,,"Since they started dumping sand here, that’s when it started. It used to be open before, but now with all the sand, the heat has increased. It feels much worse.",,
KII_P3,Heat Exposure,Neighbourhood Characteristics,,"Yes, it's a mixed-use zone. Here, poor, middle-class, and wealthy people all live together. For example, right next to Gulshan is the Korail slum. Similarly, near Baridhara, you have Vatara and other dense settlements. The entire city is a cluster of mixed-use zones. The fundamental issue is that land use planning has never been properly implemented, which is the root cause of many problems in Dhaka today. This is not just a climate change issue—it is also linked to drainage, traffic management, housing, and education systems. The failure of proper land use planning from the beginning has contributed to all these challenges.",,
FGD7_P1,Heat Exposure,Neighbourhood Economic Condition,,Mostly middle-class.,,
"FGD3_P1,P2,P4", Heat Exposure,"Neighbourhood Economic Condition, Building Density",," There are fewer tall buildings. When you look around here, you see fewer houses. Everyone owns their own home. There are no tenants here",,
"FGD3_P2,P3,P4,P1,P9,P7",Heat Exposure,Occupational Exposure,,"Yes, a huge difference day and night. Night and day difference. Like heaven and earth. Blistering heat. Stuffy heat. Brother, just stepping out of the rickshaw, it’s scorching. The heat in Dhaka city is unbearable compared to our area here.",,
FGD-4_P2,Heat Exposure,Occupational Exposure,,“Open space; outdoors; “It’s all under the open sky.”,,
FGD-5_P2,Heat Exposure,Occupational Exposure,," “Yes, the heat is definitely intense. When it gets hot, the shops on the ground floor and inside the second floor become extremely warm. The fans can’t handle it, and we sweat a lot. However, our market is open at the top, which makes it slightly less hot compared to other markets.”",,
FGD-8_p7,Heat Exposure,Occupational Exposure,,"Women usually stay at home, so they don’t face as much hardship. Men, on the other hand, suffer more because they often get burned or work in places like rolling mills or steel mills. They drive rickshaws and sweat a lot. Women stay at home and cook, and they can even enjoy the fan’s breeze, which men don’t get to do.",,
FGD-9_P1,Heat Exposure,Occupational Exposure,,The temperature given for our equipment is high heat. The heat in our machines reaches 200–250 degrees.,,
FGD-9_P1,Heat Exposure,Occupational Exposure,,"It’s unbearably hot—beyond words. Inside our office, the temperature is always above 50 degrees Celsius.",,
FGD-9_P1,Heat Exposure,Occupational Exposure,,"The heat this time around was so intense that entering our office felt impossible. When we did enter, it felt as if our bodies were on fire from the sheer heat.",,
FGD-9_P2,Heat Exposure,Occupational Exposure,,"People like rickshaw pullers, auto drivers, those carrying bricks, or hauling sand—people in these kinds of jobs.",,
FGD-9_P4,Heat Exposure,Occupational Exposure,,"Mostly rickshaw pullers, day laborers, and those who do heavy lifting work.",,
FGD-9_P4,Heat Exposure,Occupational Exposure,,"There’s steam everywhere. Machines are running, boiling water is bubbling—it feels like your body just gives up. People become so exhausted, almost as if they’ve fallen ill. You don’t need to look far—just go to Balur Math in the 13th area. There’s a factory there where you won’t last even two minutes due to the heat. You’ll sweat profusely just standing there.",,
FGD-9_P5,Heat Exposure,Occupational Exposure,,"I see. For those of you who sell snacks or vegetables, do you have shaded spots to stand or sit?",,
FGD-9_p5,Heat Exposure,Occupational Exposure,,"we run our shops under the sun all day  by afternoon, we might find some shade.",,
FGD-9_P9,Heat Exposure,Occupational Exposure,,"Sister, honestly, everyone suffers, more or less. Take the factory workers, for instance. They’re drenched in sweat due to the intense heat from the fire. Isn’t that a form of suffering too? Everyone endures hardships.  some face more than others.",,
KII_P1,Heat Exposure,Occupational Exposure,,"Professional groups who work outdoors, such as police officers, traffic police, rickshaw pullers, porters, security guards, hawkers, and daily laborers in the construction sector.",,
KII_P2,Heat Exposure,Occupational Exposure,,"Well, you must have identified this already, it's mentioned in the paper as well. In a heat island, this is a theoretical discussion, but practically, in Dhaka city, we can't measure it in that way, and when we're driving, it's hard to understand the outdoor conditions. What I think is that the vulnerability in heat islands mostly affects those working in open spaces, like rickshaw pullers, even people driving baby taxis or autos, then traffic police, and those selling things on the street, the hawkers",,
KII_P3,Heat Exposure,Occupational Exposure,,"As a service-providing organization for Dhaka city, we primarily see that the most affected people are those from low-income groups, particularly laborers. Our activities revolve around sidewalks, markets, streets, bus stands, and bus shelters—areas where these people are frequently present",,
KII_P3,Heat Exposure,Occupational Exposure,,"Also, low-income working-class people, such as laborers. As an engineer, I have seen many workers faint due to excessive heat while working on the streets.",,
KII_P6,Heat Exposure,Occupational Exposure,,"“Then, how the air quality was, meaning, when working on a mass level in a production line, almost 1000 people are working together. So, how were the ventilation systems there? Also, what was the airflow like there?”",,
KII_04_M2,Heat Exposure,Open Space,,"If we consider rural areas, those who work in the fields are also at risk. You already know that working in open fields feels hotter, and if someone stays in an open space, the heat exposure increases even more",,
KII_P7,Heat Exposure,Open Space,,"“If you have soil in the secretariat, then you can plant trees, but there's no open soil. Here’s another thing, since you guys are researching these areas, I read somewhere – though not very authentic – that, in general, we say we extract underground water. In the rainy season, it gets recharged. But for this recharge to happen, Dhaka city would need about 50 to 60% open soil. Dhaka city doesn’t even have 20% open soil, not even 30%. For recharging, it should ideally have 60% open soil, but with the decreasing sub-surface water level in Dhaka, where would you find open soil?”",,
FGD2_P2,Heat exposure,"open space, streets",,"Alright, does this area have space along the roads where trees can be planted? Yes, there’s plenty of space.",,
FGD-9,Heat Exposure,"open space,building density,population density",,"Here, there’s no open space. Houses are densely packed. For instance, a single house might have 4–5 children, and there are houses with 10 rooms filled with families.",,
KII_04_M1,Adaptive capacity,Others,,"Last year, especially in certain areas of this city and in Rajshahi, anticipatory actions were taken. Initiatives like cooling centers and awareness campaigns were introduced. There is still a lot more that can be done.",One kII participant mentioned that initiatives such as cooling centers and awareness campaigns had been established in Dhaka and Rajshahi city,
KII_P3,Adaptive capacity,Others,,"that’s one aspect. But, actually, people in our country are not adapting. I would say they are forced to adjust to it. Adaptation is a basic characteristic of humans. Humans will adapt anyway. Wherever you leave me, I have to adapt to survive",,
KII_P7,Other Recommendation,Others,Collaborative Approach,“The planning wing could provide more information about this I think such an effort has been made.”,,
KII_P7,Other Recommendation,Others,Collaborative Approach,"“Certainly, collaboration needs to be increased with everyone.”",,
KII_P3,Recommended Adaptation Strategies,Others,,"Yes, it can be scaled up. But this would require a lot of motivation. People’s mindset needs to change, it requires a build-up. After that, if the city corporation welcomes this, then it can work. Dhaka North City Corporation is the pioneer of this. Other city corporations have been asked to follow suit.",,
KII_P5,Recommended Adaptation Strategies,Others,,"We can use the government or stakeholder organizations to motivate them. For example, when a client comes to me, like a building owner coming for construction approval, I can motivate them to plant trees. That’s a possibility. Simultaneously, service-providing organizations can also motivate their beneficiary groups. Even media can be used for this purpose. So, overall, we need to work together, and the main challenge here is figuring out who will bell the cat.",,
KII_P6,Recommended Adaptation Strategies,Others,water bodies,"First of all, the parks will serve as a green body, they are absorbing the heat. Not only heat, but if you study, they might also be absorbing carbon dioxide. It may not be on a massive scale, but it will help cool the temperature and add value to recreation. So, from this perspective, green bodies—and it’s not only parks, you should also look at water bodies. A fire breaks out, the fire brigade can’t find a water source, where will they get it from? Water bodies aren’t just cooling down the temperature they serve many purposes.",,
KII_P6,Recommended Adaptation Strategies,Others,collective approach,"So, I think heat will increase, and you can’t stop it. To be very practical, planting trees and creating water bodies will help minimize the impact. In this impact minimization, I believe we should look at livelihoods and assess vulnerability. You can’t stop heat, but what you can do is, when you see it increasing, you need to understand which people will be most affected. Not everyone is going to be affected at the same time.",,
KII_P8,Recommended Adaptation Strategies,Others,,"“This seasonal unpredictability means that no one is providing us with early warnings. Organizations like BMD (Bangladesh Meteorological Department) or other relevant institutions haven’t yet managed to establish an effective early warning system. If awareness campaigns are not conducted, how will people understand when the heat will start? We also need health campaigns for this. I am not just blaming the lack of early warnings—health practitioners also understand certain aspects. They can anticipate the types of health issues that might arise and how our bodies might react. If they conduct health campaigns, these could be very helpful.",,
KII_P9,Recommended Adaptation Strategies,Others,Coordination,“And there’s a significant gap in coordination here.”,,
"FGD2_P7,P1",Heat Exposure,"Outdoor, Streets",,"No, no. If there’s no breeze here, at least we get a breeze at the school gate. Yes, it’s blocked here. that’s why there’s no breeze.The breeze passes through here.",,
FGD2_P3,Heat Exposure,"Outdoor,Streets",,"There were trees, but now they’re cutting them all while working on the road.",,
FGD2_P3,Heat Exposure,"Outdoor,Streets",," There were trees, but now they’re cutting them all while working on the road.",,
FGD2_P7, Health Impact,Physical health,"Cold, Fever","Then, we catch a cold and get a fever. In such cases, we experience illness.",,
FGD_P5,Health Impact,Physical Health,Breathing Difficulty,"When it’s hot, we don’t feel cool at all. it becomes very uncomfortable. Breathing becomes difficult. And the rashes—when the heat is extreme, it feels like fire.",,
FGD2_P1,Health Impact,Physical Health,"Cold, Breathing difficulties"," Many people catch colds, their breathing gets worse, and they feel restless.",,
FGD2_P3,Health Impact,Physical Health,Faint,"For me, when the heat gets too much, I feel nauseous. I feel faint and dizzy this happens because of the heat.",,
FGD2_P6,Health Impact,Physical Health,Faint,"I asked the people who were with her where they were taking her, and they said to the pharmacy. She was feeling dizzy because of the heat",, 
FGD2_P6,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","I saw a woman once who was being helped by two people because she was dizzy. I asked her what was wrong, and she said she was feeling faint and vomiting because of the heat. They were taking her to the pharmacy.",,
FGD2_P7,Health Impact,Physical Health,Faint,"Due to the discomfort caused by the heat, someone fainted because they felt dizzy",,
"FGD3_P9,P2",Health Impact,Physical Health,Faint,"Yes, they do. P2: The children do get affected. they faint very quickly. R: Very quickly?  The parents take the children to the doctor. And there aren't any trees or shade to protect them. R: There is no such shade? P2: No, there’s no such shade.",,
FGD-4_P1,Health Impact,Physical Health,Skin diseases,"“For example, I couldn’t sleep because of the heat, and I started sweating profusely. I had rashes, and it turned dark. That’s how bad it got.”",,
"FGD-4_P1,P3,P5",Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","“Yes, it does.”",,
FGD4_P2,Health Impact,Physical Health,"Diarrhea, Cholera"," “Yes, diarrhea happens.”",,
FGD-4_P2,Health Impact,Physical Health,Skin diseases,”Itching happens when it’s really hot; you get an allergy.”,,
